datetime,v,vw,o,c,h,l,t,n
2023-09-14 15:00:00,6098498.0,175.352,175.225,175.5,175.76,174.83,1694703600000,65135
2023-09-14 16:00:00,5751061.0,175.575,175.5,175.87,176.0,175.02,1694707200000,59789
2023-09-15 10:00:00,46081.0,176.3115,176.18,176.39,176.49,176.18,1694772000000,740
2023-09-15 11:00:00,108026.0,176.1303,176.31,176.05,176.47,175.81,1694775600000,2224
2023-09-15 12:00:00,790712.0,176.602,176.4,177.1,177.4895,175.52,1694779200000,14103
2023-09-15 13:00:00,21590039.0,175.9217,177.19,174.985,177.43,174.69,1694782800000,149932
2023-09-15 14:00:00,10960329.0,175.0081,175.0,174.57,175.89,174.55,1694786400000,197107
2023-09-15 15:00:00,7170304.0,174.8378,174.57,174.952,176.37,174.525,1694790000000,69485
2023-09-15 16:00:00,4758197.0,174.9353,174.96,174.99,175.15,174.675,1694793600000,48817
2023-09-18 10:00:00,129313.0,175.8509,175.82,175.77,175.96,175.63,1695031200000,1482
2023-09-18 11:00:00,248512.0,175.2049,175.84,174.72,175.84,174.6,1695034800000,4261
2023-09-18 12:00:00,618792.0,175.4506,175.65,175.8394,176.07,174.6,1695038400000,9102
2023-09-18 13:00:00,16222134.0,177.3937,175.82,177.05,178.98,175.7465,1695042000000,175669
2023-09-18 14:00:00,9913551.0,177.0867,177.025,177.135,177.62,176.44,1695045600000,210651
2023-09-18 15:00:00,6621667.0,177.7936,177.135,178.265,178.31,177.0899,1695049200000,61313
2023-09-18 16:00:00,6434473.0,178.6784,178.265,178.8601,179.18,178.11,1695052800000,62028
2023-09-19 10:00:00,16962.0,178.5522,178.7,178.51,178.75,178.46,1695117600000,398
2023-09-19 11:00:00,101772.0,178.6805,178.5,178.68,178.96,178.49,1695121200000,1936
2023-09-19 12:00:00,464886.0,178.2576,178.5,177.99,178.99,177.8,1695124800000,6029
2023-09-19 13:00:00,8387807.0,178.0912,177.98,177.595,178.67,177.13,1695128400000,102813
2023-09-19 14:00:00,7483775.0,177.4903,177.6,177.2288,177.91,177.13,1695132000000,153402
2023-09-19 15:00:00,4872419.0,177.5868,177.22,178.0601,178.12,177.15,1695135600000,48132
2023-09-19 16:00:00,4054647.0,177.9801,178.07,178.19,178.2376,177.63,1695139200000,38253
2023-09-20 10:00:00,18773.0,179.2561,179.36,179.3,179.4,179.16,1695204000000,378
2023-09-20 11:00:00,102075.0,178.8924,179.25,178.65,179.39,178.52,1695207600000,1587
2023-09-20 12:00:00,263858.0,178.9024,179.32,179.28,179.38,178.31,1695211200000,4312
2023-09-20 13:00:00,6770311.0,178.6127,179.25,178.41,179.695,177.98,1695214800000,89605
2023-09-20 14:00:00,7940915.0,177.6901,178.4,177.43,178.425,177.26,1695218400000,164022
2023-09-20 15:00:00,5535072.0,177.2298,177.43,177.55,177.58,176.86,1695222000000,57729
2023-09-20 16:00:00,2978942.0,177.572,177.56,177.725,177.76,177.32,1695225600000,32799
2023-09-21 10:00:00,54115.0,174.487,174.54,174.48,174.62,174.34,1695290400000,1119
2023-09-21 11:00:00,180426.0,174.4212,174.58,174.5,174.66,174.2,1695294000000,3341
2023-09-21 12:00:00,554506.0,174.1599,174.7,173.89,175.05,173.88,1695297600000,9641
2023-09-21 13:00:00,9124080.0,175.1637,173.9,174.68,176.05,173.7,1695301200000,120279
2023-09-21 14:00:00,10187716.0,175.5874,174.66,175.41,176.3,174.63,1695304800000,177012
2023-09-21 15:00:00,6244891.0,175.2434,175.4,175.377,175.7,174.82,1695308400000,60220
2023-09-21 16:00:00,5780191.0,175.1041,175.37,174.885,175.4212,174.86,1695312000000,48912
2023-09-22 10:00:00,32315.0,174.9327,175.0,174.78,175.02,174.75,1695376800000,677
2023-09-22 11:00:00,62711.0,174.7562,174.84,174.7,174.95,174.59,1695380400000,1329
2023-09-22 12:00:00,309427.0,175.1048,174.74,175.05,175.48,174.33,1695384000000,6053
2023-09-22 13:00:00,6134662.0,174.4587,175.08,174.9,175.28,174.05,1695387600000,96692
2023-09-22 14:00:00,9698740.0,175.6403,174.9,176.48,176.55,174.5701,1695391200000,178946
2023-09-22 15:00:00,5405526.0,176.2541,176.485,176.1401,176.62,175.94,1695394800000,59451
2023-09-22 16:00:00,6563749.0,176.5886,176.14,176.67,177.079,175.97,1695398400000,63264
2023-09-25 10:00:00,40365.0,174.8078,174.8,174.89,174.93,174.66,1695636000000,648
2023-09-25 11:00:00,73492.0,174.8736,174.93,174.46,175.17,174.31,1695639600000,1409
2023-09-25 12:00:00,178142.0,174.6636,174.5,174.67,175.57,174.2,1695643200000,4951
2023-09-25 13:00:00,6333712.0,174.7307,174.62,175.34,175.505,174.07,1695646800000,104577
2023-09-25 14:00:00,6428242.0,174.8947,175.35,174.88,175.55,174.21,1695650400000,181681
2023-09-25 15:00:00,6675508.0,176.0146,174.89,176.03,176.54,174.87,1695654000000,63438
2023-09-25 16:00:00,4867617.0,176.4948,176.04,176.29,176.97,175.88,1695657600000,45723
2023-09-26 10:00:00,10274.0,175.1417,175.1,175.29,175.29,175.0,1695722400000,243
2023-09-26 11:00:00,33152.0,175.2549,175.32,175.42,175.51,175.04,1695726000000,694
2023-09-26 12:00:00,152140.0,175.236,175.2,175.15,175.5927,174.85,1695729600000,3339
2023-09-26 13:00:00,8848300.0,174.0574,175.0322,173.04,175.2,172.93,1695733200000,120101
2023-09-26 14:00:00,11344070.0,172.9926,173.04,172.77,173.65,172.48,1695736800000,193274
2023-09-26 15:00:00,6208378.0,172.7671,172.77,172.86,173.19,172.415,1695740400000,69506
2023-09-26 16:00:00,4042441.0,172.9503,172.8599,173.21,173.36,172.52,1695744000000,48125
2023-09-27 10:00:00,23492.0,172.6254,172.69,172.6,172.84,172.5,1695808800000,523
2023-09-27 11:00:00,107321.0,172.6693,172.65,172.89,172.91,172.5,1695812400000,1274
2023-09-27 12:00:00,289484.0,172.8327,172.6,172.94,173.17,172.3,1695816000000,4894
2023-09-27 13:00:00,7321270.0,172.2206,172.9,171.51,173.05,171.45,1695819600000,103220
2023-09-27 14:00:00,10568362.0,170.9098,171.5,170.409,171.66,170.27,1695823200000,191566
2023-09-27 15:00:00,6172154.0,170.6449,170.405,170.4,171.1479,170.02,1695826800000,65260
2023-09-27 16:00:00,6908977.0,169.9207,170.4011,169.94,170.41,169.64,1695830400000,81995
2023-09-28 10:00:00,18845.0,170.1068,170.19,170.18,170.29,169.94,1695895200000,413
2023-09-28 11:00:00,80963.0,169.9185,170.18,169.75,170.23,169.73,1695898800000,1738
2023-09-28 12:00:00,462199.0,169.8392,170.0,169.6799,170.5,169.41,1695902400000,7698
2023-09-28 13:00:00,9959732.0,168.7774,169.72,169.61,169.95,167.62,1695906000000,136635
