,v,vw,o,c,h,l,t,n
250,501,714.0891,714.1400,714.0700,714.1400,714.0700,2024-02-13,11:31:20,10
251,999,714.0045,714.0200,714.0000,714.0200,714.0000,2024-02-13,11:31:45,19
252,299,714.1265,714.1500,714.1500,714.1500,714.1500,2024-02-13,11:31:55,13
253,119,714.2513,714.2500,714.2500,714.2500,714.2500,2024-02-13,11:33:40,2
254,200,714.0000,714.0000,714.0000,714.0000,714.0000,2024-02-13,11:35:05,6
255,1094,714.0687,714.0600,714.0100,714.0600,714.0100,2024-02-13,11:37:45,52
256,383,714.3182,714.3500,714.3500,714.3500,714.3500,2024-02-13,11:38:15,16
257,150,714.2700,714.2700,714.2700,714.2700,714.2700,2024-02-13,11:38:50,2
258,669,714.9029,714.9600,714.9600,714.9600,714.9600,2024-02-13,11:40:05,37
259,677,715.4590,715.4000,715.4000,715.4000,715.4000,2024-02-13,11:40:45,24
260,236,715.3996,715.4000,715.4000,715.4000,715.4000,2024-02-13,11:41:15,5
261,1050,715.3391,715.3200,715.3200,715.3200,715.3200,2024-02-13,11:41:55,30
262,354,715.6500,715.6500,715.6500,715.6500,715.6500,2024-02-13,11:42:10,4
263,230,716.4650,716.4800,716.4800,716.4800,716.4800,2024-02-13,11:44:15,11
264,1104,716.3764,716.4100,716.3700,716.4100,716.3700,2024-02-13,11:44:55,16
265,320,715.0870,715.1100,715.1100,715.1100,715.1100,2024-02-13,11:46:40,23
266,522,714.6749,714.6600,714.6600,714.6600,714.6600,2024-02-13,11:47:00,15
267,152,715.0015,715.0000,715.0000,715.0000,715.0000,2024-02-13,11:47:05,2
268,327,715.6414,715.6300,715.6300,715.6300,715.6300,2024-02-13,11:47:30,16
269,5138,716.1265,716.1300,716.1300,716.1300,716.1300,2024-02-13,11:47:45,24
270,200,715.9308,715.9200,715.9200,715.9200,715.9200,2024-02-13,11:48:35,3
271,103,715.8485,715.8500,715.8500,715.8500,715.8500,2024-02-13,11:49:10,2
272,182,716.0925,716.0700,716.0700,716.0700,716.0700,2024-02-13,11:49:55,15
273,244,715.3635,715.3600,715.3600,715.3600,715.3600,2024-02-13,11:53:35,21
274,187,715.3713,715.3500,715.3500,715.3500,715.3500,2024-02-13,11:58:10,3
275,213,715.4953,715.4900,715.5000,715.5000,715.4900,2024-02-13,11:58:45,6
276,442,716.0185,715.9900,715.9900,715.9900,715.9900,2024-02-13,11:59:30,12
277,259,716.1105,716.1100,716.1100,716.1100,716.1100,2024-02-13,11:59:35,5
278,2983,716.3577,716.0500,716.5900,716.5900,716.0000,2024-02-13,12:00:00,211
279,1304,716.5798,716.5400,716.5900,716.5900,716.5400,2024-02-13,12:00:05,21
280,7525,716.5900,716.5900,716.5900,716.5900,716.5900,2024-02-13,12:00:10,5
281,626,716.3881,716.3900,716.3900,716.3900,716.3900,2024-02-13,12:00:15,11
282,714,716.6046,716.7600,716.5500,716.7600,716.5500,2024-02-13,12:00:30,12
283,103,716.3376,716.3300,716.3300,716.3300,716.3300,2024-02-13,12:00:45,2
284,1256,716.7166,716.7400,716.5000,716.8600,716.5000,2024-02-13,12:00:55,23
285,205,716.4695,716.4500,716.4500,716.4500,716.4500,2024-02-13,12:01:00,7
286,1101,716.4544,716.4700,716.4500,716.4700,716.4500,2024-02-13,12:01:05,4
287,1310,716.0793,716.3000,715.9800,716.3000,715.9800,2024-02-13,12:01:10,47
