,v,vw,o,c,h,l,t,n
153,2635.0,170.5872,170.5900,170.6000,170.6000,170.5900,2024-02-13,12:20:35,49
154,4437.0,170.6841,170.6400,170.7000,170.7000,170.6400,2024-02-13,12:21:10,70
155,2549.0,170.7042,170.7200,170.7000,170.7200,170.7000,2024-02-13,12:22:10,29
156,1621.0,170.6266,170.6600,170.6000,170.6600,170.6000,2024-02-13,12:22:40,41
157,1000.0,170.5160,170.5200,170.5000,170.5200,170.5000,2024-02-13,12:22:45,13
158,2255.0,170.5889,170.5900,170.5900,170.5900,170.5900,2024-02-13,12:23:00,12
159,100.0,170.5500,170.5500,170.5500,170.5500,170.5500,2024-02-13,12:24:05,1
160,1784.0,170.5970,170.6000,170.6000,170.6000,170.6000,2024-02-13,12:24:15,36
161,1200.0,170.5971,170.6000,170.5900,170.6000,170.5900,2024-02-13,12:24:30,11
162,2405.0,170.5994,170.6000,170.6000,170.6000,170.6000,2024-02-13,12:24:40,25
163,500.0,170.6030,170.6100,170.6000,170.6100,170.6000,2024-02-13,12:24:45,3
164,503.0,170.6060,170.6200,170.6000,170.6200,170.6000,2024-02-13,12:24:55,3
165,187.0,170.6500,170.6500,170.6500,170.6500,170.6500,2024-02-13,12:25:15,2
166,415.0,170.6120,170.6000,170.6500,170.6500,170.6000,2024-02-13,12:25:20,2
167,441.0,170.6501,170.6500,170.6500,170.6500,170.6500,2024-02-13,12:25:25,2
168,1600.0,170.6003,170.6000,170.6000,170.6000,170.6000,2024-02-13,12:25:30,5
169,235.0,170.5313,170.5200,170.5500,170.5500,170.5200,2024-02-13,12:25:45,3
170,972.0,170.4983,170.5100,170.5000,170.5100,170.5000,2024-02-13,12:26:00,25
171,414.0,170.4186,170.4400,170.4100,170.4400,170.4100,2024-02-13,12:26:05,5
172,100.0,170.5000,170.5000,170.5000,170.5000,170.5000,2024-02-13,12:26:25,1
173,500.0,170.4026,170.4000,170.4000,170.4000,170.4000,2024-02-13,12:27:10,8
174,100.0,170.4300,170.4300,170.4300,170.4300,170.4300,2024-02-13,12:28:00,1
175,200.0,170.4000,170.4000,170.4000,170.4000,170.4000,2024-02-13,12:28:30,4
176,447.0,170.4045,170.4000,170.4000,170.4000,170.4000,2024-02-13,12:28:35,9
177,2647.0,170.3549,170.4000,170.3500,170.4000,170.3500,2024-02-13,12:28:40,17
178,320.0,170.4109,170.4100,170.4100,170.4100,170.4100,2024-02-13,12:30:10,5
179,100.0,170.4100,170.4100,170.4100,170.4100,170.4100,2024-02-13,12:31:35,1
180,155.0,170.4403,170.4400,170.4400,170.4400,170.4400,2024-02-13,12:32:00,3
181,300.0,170.4900,170.4900,170.4900,170.4900,170.4900,2024-02-13,12:32:25,1
182,500.0,170.5050,170.5000,170.5100,170.5100,170.5000,2024-02-13,12:32:40,8
183,858.0,170.4611,170.4600,170.4500,170.4600,170.4500,2024-02-13,12:33:05,16
184,121.0,170.5300,170.5300,170.5300,170.5300,170.5300,2024-02-13,12:35:10,3
185,600.0,170.5317,170.5300,170.5300,170.5300,170.5300,2024-02-13,12:36:05,4
186,152.0,170.5201,170.5200,170.5200,170.5200,170.5200,2024-02-13,12:37:50,4
187,150.0,170.5000,170.5000,170.5000,170.5000,170.5000,2024-02-13,12:38:20,5
188,739.0,170.5400,170.5400,170.5400,170.5400,170.5400,2024-02-13,12:43:30,14
189,799.0,170.5600,170.5600,170.5600,170.5600,170.5600,2024-02-13,12:43:45,8
190,200.0,170.5985,170.6000,170.6000,170.6000,170.6000,2024-02-13,12:44:10,5
191,859.0,170.5925,170.5700,170.6000,170.6000,170.5700,2024-02-13,12:46:15,12
192,453.0,170.6018,170.6000,170.6000,170.6000,170.6000,2024-02-13,12:47:00,14
193,1970.0,170.5368,170.5500,170.5100,170.5500,170.5100,2024-02-13,12:48:20,39
194,7314.0,170.4733,170.5300,170.3300,170.5300,170.3300,2024-02-13,12:49:10,117
195,1050.0,170.3410,170.3600,170.3000,170.3600,170.3000,2024-02-13,12:49:35,20
196,1340.0,170.2966,170.3000,170.2900,170.3000,170.2900,2024-02-13,12:52:00,23
197,370.0,170.2946,170.2900,170.3000,170.3000,170.2900,2024-02-13,12:52:05,4
198,581.0,170.2691,170.2700,170.2700,170.2700,170.2700,2024-02-13,12:53:20,7
199,342.0,170.2515,170.2500,170.2500,170.2500,170.2500,2024-02-13,12:53:45,7
200,298.0,170.2268,170.2300,170.2300,170.2300,170.2300,2024-02-13,12:53:50,3
201,203.0,170.2176,170.2200,170.2200,170.2200,170.2200,2024-02-13,12:54:05,5
202,524.0,170.1720,170.1500,170.1500,170.1500,170.1500,2024-02-13,12:54:15,26
203,180.0,170.2000,170.2000,170.2000,170.2000,170.2000,2024-02-13,12:54:35,1
204,1749.0,170.2115,170.2200,170.2000,170.2300,170.2000,2024-02-13,12:54:45,17
205,1234.0,170.1762,170.1900,170.1800,170.1900,170.1800,2024-02-13,12:55:05,19
206,225.0,170.1666,170.1700,170.1600,170.1700,170.1600,2024-02-13,12:56:05,5
207,502.0,170.2270,170.2300,170.2300,170.2300,170.2300,2024-02-13,12:56:20,12
208,468.0,170.3069,170.3300,170.3300,170.3300,170.3300,2024-02-13,12:56:30,9
209,315.0,170.2956,170.2800,170.2800,170.2800,170.2800,2024-02-13,12:57:25,6
210,260.0,170.3500,170.3500,170.3500,170.3500,170.3500,2024-02-13,12:58:10,4
211,500.0,170.4108,170.3900,170.3900,170.3900,170.3900,2024-02-13,12:58:20,10
212,315.0,170.3968,170.4000,170.4000,170.4000,170.4000,2024-02-13,12:59:05,3
213,307.0,170.3299,170.3700,170.3100,170.3700,170.3100,2024-02-13,12:59:55,7
214,65238.0,170.4051,169.9000,170.2600,171.1300,169.9000,2024-02-13,13:00:00,652
215,100.0,170.3400,170.3400,170.3400,170.3400,170.3400,2024-02-13,13:00:40,1
216,991.0,171.0606,171.0607,171.0606,171.0607,171.0606,2024-02-13,13:00:50,4
217,540.0,171.5691,170.4881,172.3100,172.3100,170.4881,2024-02-13,13:01:00,70
218,202.0,170.3900,170.3900,170.3900,170.3900,170.3900,2024-02-13,13:01:10,2
219,351.0,170.3186,170.3200,170.3200,170.3200,170.3200,2024-02-13,13:01:20,5
220,204.0,171.8925,171.8900,171.8900,171.8900,171.8900,2024-02-13,13:02:05,2
221,449.0,171.3987,170.3378,172.2600,172.2600,170.3378,2024-02-13,13:02:10,11
222,208.0,171.8041,171.8000,171.8000,171.8000,171.8000,2024-02-13,13:02:15,4
223,2060.0,172.1628,172.1200,172.2100,172.2400,172.1200,2024-02-13,13:02:20,23
224,395.0,172.1712,172.4700,172.4700,172.4700,172.4700,2024-02-13,13:02:25,13
225,767.0,172.5350,172.5500,172.5700,172.5700,172.5500,2024-02-13,13:02:30,18
226,1392.0,172.0593,172.0500,172.0100,172.1100,172.0100,2024-02-13,13:02:45,32
227,1118.0,172.0328,172.1300,171.9300,172.2000,171.9300,2024-02-13,13:02:50,24
228,1005.0,171.1463,171.9800,171.9800,171.9800,171.9800,2024-02-13,13:02:55,20
229,324.0,172.1481,172.1200,172.2600,172.2600,172.1200,2024-02-13,13:03:05,5
230,972.0,172.1519,172.3500,172.0600,172.3500,172.0600,2024-02-13,13:03:10,12
231,102.0,170.3998,170.3654,170.3654,170.3654,170.3654,2024-02-13,13:03:25,3
232,210.0,172.3282,172.3300,172.3300,172.3300,172.3300,2024-02-13,13:03:50,2
233,715.0,170.3310,170.3100,170.3100,170.3100,170.3100,2024-02-13,13:04:00,4
234,1042.0,170.3774,170.3100,170.3100,170.3100,170.3100,2024-02-13,13:04:05,6
235,266.0,172.3100,172.3100,172.3100,172.3100,172.3100,2024-02-13,13:04:15,1
236,360.0,171.9980,172.1400,171.9400,172.1400,171.9400,2024-02-13,13:04:25,5
237,129.0,172.2526,172.2600,172.2600,172.2600,172.2600,2024-02-13,13:04:35,4
238,1112.0,170.3972,170.3900,170.3900,170.4000,170.3900,2024-02-13,13:04:40,16
239,136.0,172.2234,172.2200,172.2200,172.2200,172.2200,2024-02-13,13:04:45,3
240,253.0,171.9000,171.9000,171.9000,171.9000,171.9000,2024-02-13,13:04:50,2
241,565.0,171.2683,172.3200,170.4700,172.3200,170.4700,2024-02-13,13:05:00,11
242,350.0,172.1905,172.2000,172.2000,172.2000,172.2000,2024-02-13,13:05:10,3
243,114.0,172.4357,172.4800,172.4800,172.4800,172.4800,2024-02-13,13:05:15,5
244,632.0,170.3905,170.3900,170.3900,170.3900,170.3900,2024-02-13,13:06:10,10
245,2000.0,170.4600,170.4600,170.4600,170.4600,170.4600,2024-02-13,13:06:25,1
246,100.0,170.4000,170.4000,170.4000,170.4000,170.4000,2024-02-13,13:06:35,1
247,600.0,170.4100,170.4100,170.4100,170.4100,170.4100,2024-02-13,13:07:00,10
248,1028.0,170.4559,170.4599,170.4700,170.4700,170.4300,2024-02-13,13:07:45,14
249,571.0,170.5374,170.5300,170.5400,170.5400,170.5300,2024-02-13,13:08:20,6
250,1033.0,170.5907,170.5900,170.5401,170.6000,170.5401,2024-02-13,13:08:30,13
251,121.0,170.5800,170.5800,170.5800,170.5800,170.5800,2024-02-13,13:09:25,1
252,1600.0,170.6497,170.6497,170.6497,170.6497,170.6497,2024-02-13,13:09:30,1
253,300.0,170.6467,170.6500,170.6500,170.6500,170.6500,2024-02-13,13:09:35,3
254,372.0,170.6555,170.6500,170.6700,170.6700,170.6500,2024-02-13,13:09:40,6
255,201.0,170.6501,170.6500,170.6500,170.6500,170.6500,2024-02-13,13:10:25,3
