,v,vw,o,c,h,l,t,n
212,197,170.0000,170.0000,170.0000,170.0000,170.0000,2024-02-13,12:47:50,1
213,411,169.9999,170.0000,170.0000,170.0000,170.0000,2024-02-13,12:48:40,15
214,387,169.9557,169.9600,169.9500,169.9600,169.9500,2024-02-13,12:48:45,13
215,235,169.9006,169.9000,169.9000,169.9000,169.9000,2024-02-13,12:49:05,5
216,1010,169.9013,169.9100,169.9100,169.9100,169.9100,2024-02-13,12:49:35,16
217,446,169.8900,169.8900,169.8900,169.8900,169.8900,2024-02-13,12:50:20,1
218,100,169.9500,169.9500,169.9500,169.9500,169.9500,2024-02-13,12:50:35,1
219,212,169.9500,169.9500,169.9500,169.9500,169.9500,2024-02-13,12:50:40,2
220,184,169.8600,169.8600,169.8600,169.8600,169.8600,2024-02-13,12:53:05,3
221,292,169.8991,169.9000,169.9000,169.9000,169.9000,2024-02-13,12:53:45,8
222,668,169.9510,169.9500,169.9500,169.9500,169.9500,2024-02-13,12:54:05,14
223,179,170.0000,170.0000,170.0000,170.0000,170.0000,2024-02-13,12:55:55,2
224,211,170.0300,170.0300,170.0300,170.0300,170.0300,2024-02-13,12:56:00,2
225,513,170.1118,170.1100,170.1200,170.1200,170.1100,2024-02-13,12:56:40,14
226,270,170.1229,170.1200,170.1200,170.1200,170.1200,2024-02-13,12:57:15,8
227,281,170.2000,170.2000,170.2000,170.2000,170.2000,2024-02-13,12:58:35,2
228,550,170.2191,170.1800,170.2400,170.2400,170.1800,2024-02-13,12:59:10,9
229,162,170.2400,170.2400,170.2400,170.2400,170.2400,2024-02-13,12:59:40,3
230,45377,170.0829,170.1700,170.0100,170.7700,169.6100,2024-02-13,13:00:00,514
231,100,170.2178,170.2178,170.2178,170.2178,170.2178,2024-02-13,13:00:05,1
232,201,170.2255,170.2343,170.2343,170.2343,170.2343,2024-02-13,13:00:10,5
233,100,170.1200,170.1200,170.1200,170.1200,170.1200,2024-02-13,13:00:20,1
234,194,169.4179,169.4166,169.4166,169.4166,169.4166,2024-02-13,13:00:45,2
235,281,169.9619,169.9619,169.9619,169.9619,169.9619,2024-02-13,13:00:55,1
236,118,171.8577,171.9800,171.9800,171.9800,171.9800,2024-02-13,13:01:00,8
237,198,169.9097,169.8533,169.8533,169.8533,169.8533,2024-02-13,13:01:05,5
