Parameter Combination,Rank
"(90.0, 0.1, 0.5, 100.0, 0.1)",172.55555555555554
"(90.0, 0.3, 0.2, 100.0, 0.1)",173.0
"(90.0, 0.3, 0.5, 150.0, 0.1)",174.33333333333334
"(90.0, 0.3, 0.3, 100.0, 0.1)",178.55555555555554
"(90.0, 0.3, 0.5, 50.0, 0.1)",180.66666666666666
"(120.0, 0.2, 0.5, 100.0, 0.1)",180.88888888888889
"(90.0, 0.2, 0.5, 100.0, 0.1)",181.33333333333334
"(200.0, 0.2, 0.3, 150.0, 0.1)",181.66666666666666
"(200.0, 0.2, 0.1, 150.0, 0.1)",182.44444444444446
"(200.0, 0.1, 0.5, 200.0, 0.1)",182.66666666666666
"(90.0, 0.3, 0.5, 100.0, 0.1)",183.33333333333334
"(200.0, 0.3, 0.1, 150.0, 0.1)",187.55555555555554
"(200.0, 0.3, 0.5, 150.0, 0.1)",189.0
"(200.0, 0.3, 0.5, 100.0, 0.1)",196.33333333333334
"(200.0, 0.2, 0.5, 150.0, 0.1)",196.77777777777777
"(200.0, 0.2, 0.3, 100.0, 0.1)",198.77777777777777
"(200.0, 0.2, 0.1, 100.0, 0.1)",201.44444444444446
"(200.0, 0.2, 0.5, 100.0, 0.1)",202.88888888888889
"(200.0, 0.3, 0.3, 150.0, 0.1)",204.44444444444446
"(200.0, 0.1, 0.5, 100.0, 0.1)",206.88888888888889
"(200.0, 0.3, 0.3, 100.0, 0.1)",217.22222222222223
"(200.0, 0.3, 0.1, 100.0, 0.1)",236.0
