Parameter Combination,Rank
"(90.0, 0.3, 0.5, 100.0, 0.1)",182.16666666666666
"(90.0, 0.3, 0.5, 50.0, 0.1)",184.5
"(120.0, 0.3, 0.2, 200.0, 0.1)",186.16666666666666
"(200.0, 0.3, 0.2, 100.0, 0.1)",188.33333333333334
"(200.0, 0.2, 0.2, 100.0, 0.1)",190.16666666666666
"(200.0, 0.3, 0.1, 150.0, 0.1)",191.66666666666666
"(200.0, 0.2, 0.3, 150.0, 0.1)",194.83333333333334
"(120.0, 0.2, 0.5, 100.0, 0.1)",195.66666666666666
"(200.0, 0.3, 0.3, 150.0, 0.1)",201.33333333333334
"(200.0, 0.3, 0.3, 100.0, 0.1)",207.33333333333334
"(120.0, 0.3, 0.5, 100.0, 0.1)",209.83333333333334
"(200.0, 0.3, 0.5, 150.0, 0.1)",211.0
"(200.0, 0.2, 0.1, 100.0, 0.1)",216.83333333333334
"(200.0, 0.2, 0.5, 100.0, 0.1)",217.16666666666666
"(200.0, 0.1, 0.5, 100.0, 0.1)",218.66666666666666
"(200.0, 0.2, 0.5, 150.0, 0.1)",220.16666666666666
"(200.0, 0.2, 0.3, 100.0, 0.1)",223.83333333333334
"(200.0, 0.3, 0.1, 100.0, 0.1)",236.16666666666666
